---- EP [1/5] | BTCH [1/1615] ||| train_loss = 0.01647 ----
---- EP [1/5] | BTCH [2/1615] ||| train_loss = 0.03075 ----
---- EP [1/5] | BTCH [3/1615] ||| train_loss = 0.01380 ----
---- EP [1/5] | BTCH [4/1615] ||| train_loss = 0.01715 ----
---- EP [1/5] | BTCH [5/1615] ||| train_loss = 0.01665 ----
---- EP [1/5] | BTCH [6/1615] ||| train_loss = 0.01768 ----
---- EP [1/5] | BTCH [7/1615] ||| train_loss = 0.00983 ----
---- EP [1/5] | BTCH [8/1615] ||| train_loss = 0.01339 ----
---- EP [1/5] | BTCH [9/1615] ||| train_loss = 0.01991 ----
---- EP [1/5] | BTCH [10/1615] ||| train_loss = 0.01785 ----
---- EP [1/5] | BTCH [11/1615] ||| train_loss = 0.01514 ----
---- EP [1/5] | BTCH [12/1615] ||| train_loss = 0.00926 ----
---- EP [1/5] | BTCH [13/1615] ||| train_loss = 0.01511 ----
---- EP [1/5] | BTCH [14/1615] ||| train_loss = 0.01922 ----
---- EP [1/5] | BTCH [15/1615] ||| train_loss = 0.01101 ----
---- EP [1/5] | BTCH [16/1615] ||| train_loss = 0.01422 ----
---- EP [1/5] | BTCH [17/1615] ||| train_loss = 0.01150 ----
---- EP [1/5] | BTCH [18/1615] ||| train_loss = 0.01552 ----
---- EP [1/5] | BTCH [19/1615] ||| train_loss = 0.01567 ----
---- EP [1/5] | BTCH [20/1615] ||| train_loss = 0.01078 ----
---- EP [1/5] | BTCH [21/1615] ||| train_loss = 0.01366 ----
---- EP [1/5] | BTCH [22/1615] ||| train_loss = 0.01181 ----
---- EP [1/5] | BTCH [23/1615] ||| train_loss = 0.01080 ----
---- EP [1/5] | BTCH [24/1615] ||| train_loss = 0.01348 ----
---- EP [1/5] | BTCH [25/1615] ||| train_loss = 0.01381 ----
---- EP [1/5] | BTCH [26/1615] ||| train_loss = 0.01409 ----
---- EP [1/5] | BTCH [27/1615] ||| train_loss = 0.00948 ----
---- EP [1/5] | BTCH [28/1615] ||| train_loss = 0.01023 ----
---- EP [1/5] | BTCH [29/1615] ||| train_loss = 0.01904 ----
---- EP [1/5] | BTCH [30/1615] ||| train_loss = 0.01347 ----
---- EP [1/5] | BTCH [31/1615] ||| train_loss = 0.01194 ----
---- EP [1/5] | BTCH [32/1615] ||| train_loss = 0.00893 ----
---- EP [1/5] | BTCH [33/1615] ||| train_loss = 0.01244 ----
---- EP [1/5] | BTCH [34/1615] ||| train_loss = 0.01060 ----
---- EP [1/5] | BTCH [35/1615] ||| train_loss = 0.01062 ----
---- EP [1/5] | BTCH [36/1615] ||| train_loss = 0.01570 ----
---- EP [1/5] | BTCH [37/1615] ||| train_loss = 0.01170 ----
---- EP [1/5] | BTCH [38/1615] ||| train_loss = 0.01507 ----
---- EP [1/5] | BTCH [39/1615] ||| train_loss = 0.01551 ----
---- EP [1/5] | BTCH [40/1615] ||| train_loss = 0.01200 ----
---- EP [1/5] | BTCH [41/1615] ||| train_loss = 0.01472 ----
---- EP [1/5] | BTCH [42/1615] ||| train_loss = 0.01181 ----
---- EP [1/5] | BTCH [43/1615] ||| train_loss = 0.01379 ----
---- EP [1/5] | BTCH [44/1615] ||| train_loss = 0.01305 ----
---- EP [1/5] | BTCH [45/1615] ||| train_loss = 0.01592 ----
---- EP [1/5] | BTCH [46/1615] ||| train_loss = 0.01646 ----
